Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place
25/12/2014,15,714,219,53,84,2195,2240,0,1346,0,54,48,325,112,106,1558,1010,625,0,257,1369,502,139,956,0,1191,458,39,584,494,204,39,185,94
25/12/2014,16,803,195,69,83,2132,2038,0,982,0,53,37,338,118,83,1634,1049,612,0,226,1462,577,106,795,0,1024,343,31,607,431,200,79,127,89
25/12/2014,17,706,234,50,90,2052,1941,0,956,0,74,60,320,117,100,1527,1079,669,0,203,1415,724,134,898,0,1091,515,53,481,429,308,33,89,48
25/12/2014,18,769,144,46,71,2128,1978,0,838,0,65,83,375,122,83,1294,1035,665,0,256,1265,563,89,919,0,1198,746,46,381,555,293,48,52,88
25/12/2014,19,648,144,54,96,2194,2172,0,996,0,75,48,337,116,91,1618,1131,657,0,245,1324,578,102,1029,0,1299,938,59,374,487,396,25,79,106
25/12/2014,20,611,129,37,88,2123,2954,0,1139,0,47,53,157,50,39,1559,1243,798,0,288,1274,477,115,1004,0,1242,765,59,289,542,414,47,118,75
25/12/2014,21,439,101,45,80,1968,3797,0,1383,0,63,30,96,33,54,1489,1114,775,0,244,1445,406,153,873,0,1006,635,43,248,474,369,28,73,60
25/12/2014,22,326,56,40,61,1491,2737,0,972,0,29,32,36,13,24,1014,923,577,0,150,1130,253,101,650,0,705,480,50,243,488,290,20,43,54
25/12/2014,23,80,13,25,51,601,723,0,287,0,14,8,11,3,6,203,239,238,0,63,401,205,47,356,0,211,181,20,77,276,100,6,11,12
26/12/2014,0,82,12,0,30,299,210,0,111,0,15,11,31,7,7,92,128,86,0,47,236,83,19,236,0,110,78,22,42,219,14,7,9,25
26/12/2014,1,45,9,6,22,146,154,0,90,0,4,6,3,0,2,49,81,64,0,52,98,33,14,126,0,75,71,18,20,120,6,1,3,10
26/12/2014,2,31,1,2,19,98,117,0,41,0,0,0,12,2,1,36,88,45,0,33,60,18,5,174,0,43,27,3,23,73,3,3,14,10
26/12/2014,3,18,5,0,1,69,105,0,68,0,3,3,14,1,0,45,36,28,0,24,60,15,8,133,0,22,62,5,42,50,8,3,5,4
26/12/2014,4,23,0,2,8,73,150,0,100,0,3,1,0,0,0,43,48,73,0,36,121,19,4,169,0,28,56,2,46,115,21,7,11,2
26/12/2014,5,39,11,4,10,229,158,0,158,0,13,4,13,1,0,39,61,77,0,21,116,30,14,175,0,38,75,3,52,135,2,2,4,3
26/12/2014,6,72,22,7,12,359,356,0,406,0,32,8,28,3,10,64,99,87,0,39,258,137,24,130,0,71,163,4,64,86,11,10,19,28
26/12/2014,7,106,50,29,27,549,671,0,766,0,47,19,25,2,57,147,250,180,0,97,491,292,70,185,0,142,78,13,129,178,23,24,41,50
26/12/2014,8,386,119,52,45,894,1503,0,1624,0,73,32,153,26,104,344,542,314,0,217,1038,353,105,215,0,240,79,28,213,282,37,71,91,79
26/12/2014,9,696,267,110,61,1300,2934,0,2944,0,80,30,139,46,182,603,780,521,0,319,1678,624,159,353,0,432,173,76,378,369,93,155,134,175
26/12/2014,10,1128,261,81,63,1991,4037,0,4248,0,112,62,175,33,239,1006,1156,612,0,483,2250,723,178,555,0,804,440,123,651,565,138,127,158,110
26/12/2014,11,1597,298,81,83,1217,4470,0,5249,0,121,46,217,68,282,1138,1494,665,0,642,2370,757,154,952,0,1225,634,152,788,830,173,76,128,98
26/12/2014,12,1985,245,124,56,2584,5015,0,5832,0,112,43,295,78,325,1476,1573,639,0,649,2665,721,163,1092,0,1656,851,128,924,1161,232,70,118,94
26/12/2014,13,2403,316,134,113,4051,5080,0,5902,0,108,51,304,73,301,1640,1815,795,0,664,3185,757,212,1304,0,1927,1009,110,1103,1305,342,55,167,131
26/12/2014,14,2647,291,167,81,4006,5323,0,6207,0,136,30,453,117,364,1723,1897,862,0,674,3417,776,222,1392,0,1774,797,109,1128,1218,412,64,121,100
26/12/2014,15,2493,339,147,105,3872,5476,0,5844,0,102,60,426,112,360,1896,2211,1047,0,573,3618,845,225,1467,0,1581,722,107,1162,1048,435,75,163,152
26/12/2014,16,2623,286,124,82,3603,4870,0,5601,0,132,73,340,120,303,1686,1943,864,0,519,3545,826,258,1331,0,1486,636,102,939,956,419,85,182,140
26/12/2014,17,2078,349,144,85,3252,4300,0,4961,0,112,46,388,98,256,1622,1807,800,0,448,3336,794,204,1306,0,1494,668,113,762,932,541,182,287,129
26/12/2014,18,1865,336,90,93,2966,3973,0,4152,0,122,94,366,86,258,1547,1682,822,0,345,2873,828,317,1396,0,1459,855,70,553,1087,579,141,242,153
26/12/2014,19,1559,168,110,90,2526,3160,0,3003,0,105,87,342,89,181,1311,1479,593,0,370,2337,583,208,1359,0,1498,1044,93,466,951,894,86,225,124
26/12/2014,20,1268,248,51,58,2451,2793,0,2333,0,82,50,257,58,129,1317,1307,628,0,320,2178,489,205,1236,0,1464,1038,72,395,1044,970,41,162,108
26/12/2014,21,1017,142,66,68,2241,2323,0,1518,0,80,60,213,69,92,1308,1224,548,0,254,1925,438,181,1113,0,1313,858,58,387,889,964,55,120,82
26/12/2014,22,727,110,70,68,2055,1552,0,835,0,62,32,116,26,28,1112,1049,439,0,240,1433,297,119,905,0,1036,598,87,249,852,717,51,107,60
26/12/2014,23,444,73,44,67,1350,892,0,397,0,31,26,36,12,13,594,715,365,0,188,884,193,90,545,0,516,318,57,195,554,435,27,45,26
27/12/2014,0,232,37,22,49,701,504,0,157,0,16,12,27,3,18,279,249,164,0,111,469,105,44,367,0,276,187,32,63,401,315,14,20,32
27/12/2014,1,97,11,6,21,319,226,0,111,0,3,10,8,1,12,122,147,108,0,91,201,56,22,272,0,143,119,12,68,260,82,11,14,28
27/12/2014,2,61,16,13,25,240,151,0,49,0,6,2,12,6,3,81,74,36,0,54,155,19,24,174,0,106,26,9,35,232,33,1,2,7
27/12/2014,3,33,8,3,17,157,139,0,33,0,11,12,3,0,1,34,65,32,0,68,88,35,8,130,0,40,37,15,26,154,35,4,2,9
27/12/2014,4,25,20,5,15,59,87,0,23,0,6,4,1,1,0,46,51,39,0,73,78,35,21,72,0,24,10,2,31,86,24,4,1,3
27/12/2014,5,18,9,8,8,51,82,0,30,0,10,9,19,1,1,53,52,67,0,63,65,39,17,93,0,21,10,15,37,54,4,7,6,7
27/12/2014,6,35,48,5,17,81,90,0,49,0,19,6,24,3,24,43,95,74,0,89,176,162,28,86,0,18,16,28,63,35,5,20,25,9
27/12/2014,7,89,63,15,24,228,232,0,98,0,40,40,69,15,68,121,147,102,0,233,337,204,56,65,0,61,34,81,94,93,26,37,42,70
27/12/2014,8,154,112,46,53,376,493,0,292,0,66,63,85,21,81,266,294,196,0,395,603,380,84,150,0,121,98,152,218,106,47,42,68,90
27/12/2014,9,224,195,105,62,586,1181,0,850,0,78,68,152,45,126,650,618,418,0,719,1204,749,187,235,0,268,129,200,366,230,99,110,146,122
27/12/2014,10,576,253,128,131,938,1995,0,1807,0,86,58,309,79,152,940,945,507,0,1062,1712,682,155,362,0,438,275,293,637,428,149,161,178,198
27/12/2014,11,843,297,129,160,627,2808,0,2827,0,73,78,418,97,198,1529,1301,560,0,1445,2146,736,198,546,0,821,473,354,1179,542,235,137,183,163
27/12/2014,12,1174,344,135,144,1284,3478,0,3569,0,90,68,467,149,271,1864,1448,607,0,1741,2302,686,220,721,0,1218,707,407,1169,679,421,111,152,98
27/12/2014,13,1452,278,178,169,2082,4082,0,4112,0,87,77,504,181,213,2109,1625,655,0,1736,2677,638,188,911,0,1346,774,389,1589,895,536,100,175,100
27/12/2014,14,1666,378,172,120,2546,4106,0,4505,0,90,60,574,184,264,2168,1807,747,0,1494,2921,685,229,987,0,1265,652,330,1587,817,614,74,154,114
27/12/2014,15,1811,339,154,117,2509,4170,0,4420,0,99,56,515,211,221,2282,1976,870,0,1389,2982,770,179,1055,0,1215,612,276,1592,865,577,110,181,114
27/12/2014,16,1781,389,165,121,2534,3903,0,4413,0,86,52,560,179,217,2118,1801,752,0,839,3374,830,205,1026,0,1142,474,154,1415,823,570,92,233,128
27/12/2014,17,1695,339,163,132,2345,3423,0,3424,0,114,109,474,171,191,2188,1829,788,0,406,2959,763,269,1075,0,1135,617,121,1222,779,655,120,236,153
27/12/2014,18,1395,405,150,77,2533,2930,0,2461,0,126,95,571,179,211,2088,1768,749,0,393,2707,884,206,1145,0,1294,869,143,824,857,837,204,397,117
27/12/2014,19,1292,287,94,95,2615,2471,0,1486,0,95,67,567,183,144,1803,1444,630,0,396,2206,572,186,1119,0,1415,1105,107,611,1047,1057,92,251,141
27/12/2014,20,1169,298,117,81,2371,1986,0,971,0,123,80,645,133,101,1672,1412,608,0,360,1854,487,137,1109,0,1418,990,87,519,989,1569,53,123,108
27/12/2014,21,947,184,95,59,2041,2152,0,926,0,78,63,394,120,101,1611,1356,485,0,292,1855,379,169,1088,0,1118,809,62,441,892,1430,86,241,98
27/12/2014,22,699,178,76,73,1826,1587,0,556,0,80,72,280,55,63,1359,1316,534,0,255,1516,435,165,1066,0,847,689,62,494,1021,1174,73,130,102
27/12/2014,23,442,137,54,66,1374,1036,0,349,0,35,36,108,28,29,808,754,384,0,195,1095,358,113,889,0,540,478,39,273,900,670,32,122,47
28/12/2014,0,312,64,20,44,806,572,0,192,0,23,16,27,8,12,443,430,269,0,158,602,229,42,689,0,377,396,34,138,608,397,33,45,63
28/12/2014,1,164,19,12,29,507,410,0,162,0,7,24,21,6,14,189,238,134,0,189,264,70,44,583,0,217,175,21,55,497,147,7,13,32
28/12/2014,2,93,22,20,23,242,255,0,65,0,12,13,5,1,6,120,172,68,0,108,190,33,47,412,0,157,179,18,51,364,53,3,21,16
28/12/2014,3,83,13,4,16,220,195,0,84,0,6,9,17,4,4,69,93,49,0,76,127,25,9,434,0,71,183,9,42,374,23,4,16,12
28/12/2014,4,49,14,6,18,65,144,0,54,0,14,0,1,1,6,52,59,49,0,52,148,36,36,347,0,32,84,18,36,202,23,1,10,3
28/12/2014,5,22,15,9,17,61,84,0,44,0,6,8,5,1,5,61,69,39,0,45,91,52,14,266,0,30,22,6,50,189,12,4,11,15
28/12/2014,6,22,30,12,12,90,82,0,49,0,15,7,23,1,13,93,66,50,0,90,133,78,26,97,0,34,26,19,79,116,18,17,23,31
28/12/2014,7,78,34,16,28,198,200,0,86,0,35,16,36,20,57,138,161,95,0,180,291,256,48,77,0,59,43,29,126,106,33,47,46,85
28/12/2014,8,114,111,31,32,341,322,0,214,0,42,26,121,35,87,277,276,159,0,301,501,440,100,134,0,100,71,61,186,104,73,49,80,55
28/12/2014,9,223,227,105,66,568,1005,0,589,0,61,54,213,49,133,532,581,320,0,627,1113,767,152,195,0,190,149,137,382,227,124,130,116,144
28/12/2014,10,527,265,131,124,865,1759,0,1546,0,74,53,274,71,192,1209,868,409,0,1014,1636,641,138,327,0,393,301,235,874,366,151,94,186,151
28/12/2014,11,928,226,117,114,561,2561,0,2472,0,95,72,328,76,214,1635,1202,522,0,1234,1924,644,159,510,0,618,505,337,1316,583,258,117,165,185
28/12/2014,12,1236,382,147,84,1321,2877,0,2788,0,51,86,376,147,234,1747,1258,478,0,1581,2179,661,160,613,0,1117,554,450,1466,696,362,106,207,108
28/12/2014,13,1220,325,104,128,2046,3302,0,3165,0,79,50,527,178,229,2057,1333,534,0,1652,2231,625,183,749,0,1191,590,331,1677,785,504,87,174,123
28/12/2014,14,1261,282,160,122,2057,3508,0,3440,0,80,49,373,193,220,2048,1551,515,0,1451,2387,682,158,709,0,1236,487,293,1672,798,792,94,180,91
28/12/2014,15,1257,290,150,125,2071,3546,0,3666,0,105,55,405,132,193,2086,1713,604,0,1211,2536,681,199,774,0,1216,416,265,1550,693,685,99,189,142
28/12/2014,16,1217,237,171,73,2085,3121,0,3147,0,75,64,272,93,139,1950,1527,540,0,693,2682,835,155,871,0,1130,274,151,1351,759,708,106,228,153
28/12/2014,17,1291,248,118,73,1969,2812,0,2646,0,117,67,303,116,151,1879,1377,544,0,370,2467,824,197,735,0,1075,418,99,1164,835,657,98,201,138
28/12/2014,18,1108,317,141,77,1942,2361,0,1711,0,108,81,452,150,174,1616,1407,579,0,357,2102,793,221,774,0,1106,630,103,613,834,806,150,250,183
28/12/2014,19,1022,221,63,86,2315,2011,0,1184,0,91,74,540,214,97,1425,1088,471,0,330,1858,600,174,924,0,1121,852,122,499,877,1235,57,171,133
28/12/2014,20,1043,248,102,94,2121,1543,0,1014,0,86,58,577,198,106,1378,1198,481,0,300,1723,435,176,1065,0,1092,900,112,456,863,1525,52,201,132
28/12/2014,21,800,154,65,82,1658,1767,0,632,0,52,79,511,194,99,1361,991,358,0,259,1519,413,133,862,0,895,787,78,432,763,1529,60,96,115
28/12/2014,22,513,138,42,59,1276,948,0,325,0,66,45,307,107,66,1064,889,480,0,214,1292,245,119,690,0,671,418,60,277,625,1169,62,101,77
28/12/2014,23,339,67,38,35,841,690,0,167,0,38,43,146,76,34,520,574,313,0,163,694,239,81,442,0,272,168,39,227,678,617,24,64,46
29/12/2014,0,115,17,16,33,437,269,0,97,0,26,16,99,28,22,307,242,143,0,83,306,136,45,306,0,150,68,12,172,711,199,18,54,28
29/12/2014,1,124,10,5,22,168,134,0,43,0,11,10,17,2,4,66,121,61,0,66,93,43,45,219,0,104,41,5,39,696,97,5,5,7
29/12/2014,2,27,12,3,14,74,47,0,21,0,1,0,13,1,2,32,47,21,0,37,60,25,7,103,0,65,45,8,22,677,39,0,0,2
29/12/2014,3,14,1,2,11,51,46,0,21,0,3,4,6,0,0,37,70,24,0,23,61,11,10,79,0,15,12,4,25,307,8,2,4,8
29/12/2014,4,20,8,1,14,63,48,0,14,0,5,1,14,1,2,37,44,41,0,24,41,15,6,63,0,26,17,1,42,249,9,7,7,24
29/12/2014,5,16,25,10,43,52,55,0,11,0,18,5,9,0,7,68,63,55,0,35,86,72,24,55,0,16,0,1,82,254,2,5,7,14
29/12/2014,6,46,76,59,214,135,123,0,51,0,112,40,31,1,33,132,182,111,0,65,339,329,64,84,0,24,16,9,130,45,12,23,24,39
29/12/2014,7,129,278,212,718,297,309,0,144,0,396,121,93,18,99,233,494,192,0,145,682,788,133,93,0,51,38,39,238,103,36,82,59,106
29/12/2014,8,245,505,370,1191,439,598,0,361,0,678,168,152,32,145,472,795,371,0,227,1141,1215,236,153,0,155,74,63,479,150,106,144,112,232
29/12/2014,9,403,500,260,663,715,1244,0,823,0,391,114,192,32,138,759,834,368,0,378,1278,1088,225,278,0,268,169,81,530,295,155,166,163,208
29/12/2014,10,583,558,209,334,1106,2103,0,1717,0,194,86,262,44,151,1301,1183,465,0,552,1908,1089,264,371,0,359,242,113,1019,430,220,128,153,258
29/12/2014,11,956,432,254,348,1509,3139,0,2878,0,212,105,311,119,173,1707,1482,604,0,685,2277,1091,254,609,0,706,518,120,1287,642,261,124,190,222
29/12/2014,12,1387,877,324,405,2030,3938,0,3561,0,363,142,370,97,326,2032,1876,686,0,800,2754,1158,320,990,0,1202,976,115,1634,837,466,123,202,307
29/12/2014,13,1203,831,232,385,1809,4249,0,4262,0,247,121,105,22,220,2075,1651,402,0,669,2501,1145,272,1009,0,1062,778,130,1722,997,401,133,174,290
29/12/2014,14,1463,463,203,266,2137,3915,0,3645,0,180,64,230,55,181,1830,1527,528,0,519,2636,1141,268,971,0,1029,639,75,1609,923,485,113,181,148
29/12/2014,15,1697,413,239,534,2384,4029,0,3699,0,248,136,365,73,186,1831,1820,739,0,528,2928,1087,297,957,0,958,541,96,1597,879,601,135,176,178
29/12/2014,16,1659,464,415,906,2307,3581,0,3449,0,528,198,316,69,221,1781,1723,657,0,553,2855,1424,271,955,0,1019,486,119,1368,817,452,133,206,167
29/12/2014,17,1663,515,474,1017,2139,3141,0,2775,0,571,223,280,109,221,1763,1928,813,0,535,3220,1458,266,898,0,988,664,152,1244,766,473,175,217,186
29/12/2014,18,1361,362,192,353,1997,2524,0,1849,0,207,151,321,94,160,1254,1465,605,0,407,2449,941,186,978,0,1136,794,107,646,841,670,104,183,203
29/12/2014,19,1025,273,81,163,2162,2085,0,1087,0,98,100,228,39,74,1151,1266,451,0,307,1863,582,169,857,0,1099,909,76,462,946,879,70,149,133
29/12/2014,20,872,213,87,113,1854,1483,0,714,0,65,54,347,58,59,970,976,386,0,265,1628,391,131,968,0,910,760,90,448,818,930,51,136,119
29/12/2014,21,704,191,81,123,1593,1333,0,494,0,58,53,278,53,57,944,967,441,0,234,1473,356,125,818,0,839,606,54,332,600,1017,60,124,106
29/12/2014,22,438,88,44,62,1244,898,0,285,0,45,30,133,21,24,712,751,326,0,159,1032,235,93,577,0,540,469,45,232,471,713,27,84,49
29/12/2014,23,268,81,42,61,660,481,0,146,0,31,9,41,21,21,336,464,311,0,149,620,185,82,388,0,224,178,39,185,317,309,26,57,15
30/12/2014,0,161,24,8,30,320,243,0,59,0,23,7,15,5,6,180,221,98,0,128,259,86,41,218,0,181,59,25,82,213,150,13,23,37
30/12/2014,1,57,19,3,12,133,104,0,20,0,17,2,9,0,15,83,65,44,0,77,87,14,11,111,0,53,23,13,29,78,60,4,13,5
30/12/2014,2,35,3,3,7,46,31,0,15,0,2,2,4,0,6,41,53,31,0,33,42,14,2,83,0,32,17,5,25,47,28,2,13,9
30/12/2014,3,20,4,2,6,32,35,0,10,0,2,6,2,0,0,23,35,17,0,20,46,18,11,52,0,10,9,0,29,46,6,0,0,4
30/12/2014,4,16,7,4,3,21,29,0,20,0,5,1,12,4,1,33,10,33,0,25,44,15,2,30,0,8,4,2,38,55,1,4,6,11
30/12/2014,5,23,24,11,32,53,56,0,23,0,19,10,12,1,11,62,57,59,0,52,123,90,10,34,0,16,3,9,57,36,9,8,10,13
30/12/2014,6,39,93,42,208,128,116,0,44,0,109,53,26,2,32,121,171,99,0,115,276,298,56,49,0,29,20,22,103,36,6,29,15,36
30/12/2014,7,99,243,197,684,245,290,0,121,0,390,125,100,33,105,233,367,207,0,280,731,763,191,111,0,42,44,60,236,97,64,74,44,94
30/12/2014,8,225,589,446,1392,431,524,0,385,0,683,142,174,57,151,468,557,336,0,423,1042,1115,278,185,0,138,76,110,494,149,79,163,119,188
30/12/2014,9,368,440,290,580,669,1165,0,814,0,284,125,201,143,99,666,794,331,0,686,1272,965,213,258,0,193,171,154,498,292,117,143,149,205
30/12/2014,10,534,428,184,342,1002,1988,0,1583,0,166,105,279,107,110,1167,874,388,0,1165,1667,1051,235,389,0,335,298,283,801,416,239,107,122,208
30/12/2014,11,897,415,198,355,1191,2877,0,2495,0,189,110,373,240,172,1551,1333,519,0,1692,2147,1068,325,521,0,618,431,342,1182,542,244,125,136,213
30/12/2014,12,1376,768,229,457,2109,3754,0,3523,0,329,178,434,323,302,1908,1820,619,0,1963,2725,1140,351,957,0,1062,774,423,1685,895,448,145,185,317
30/12/2014,13,1517,801,292,446,2493,4130,0,3810,0,291,104,395,348,316,2059,1753,602,0,2018,2949,1003,380,1061,0,1226,913,390,1771,1003,574,137,212,254
30/12/2014,14,1662,498,296,364,2591,4285,0,3966,0,208,90,475,202,250,2245,1780,739,0,1527,3032,1054,388,1028,0,1210,689,293,2006,881,655,106,219,236
30/12/2014,15,1703,457,301,518,2438,4151,0,4293,0,267,165,525,198,243,2096,2040,844,0,1082,3214,1164,320,974,0,1141,550,203,1642,824,571,137,231,183
30/12/2014,16,1673,489,392,945,2586,3985,0,3806,0,536,311,557,189,269,2066,1818,783,0,700,3472,1429,381,1101,0,1066,434,151,1517,769,540,182,221,234
30/12/2014,17,1794,488,467,967,2436,3449,0,3235,0,620,362,813,172,292,1941,1977,853,0,514,3156,1699,336,1069,0,1072,667,154,1204,804,519,181,243,257
30/12/2014,18,1303,433,229,343,2224,2835,0,2314,0,285,255,1066,225,229,1439,1503,660,0,397,2626,1124,255,1044,0,1121,786,115,600,794,718,136,198,311
30/12/2014,19,1235,252,103,207,2300,2165,0,1321,0,138,146,441,103,81,1151,1287,535,0,383,2160,676,188,1061,0,1268,883,116,559,978,885,57,111,167
30/12/2014,20,1026,244,99,132,1963,1719,0,575,0,68,83,295,84,88,1060,1144,500,0,292,1626,415,113,923,0,1077,765,85,424,775,1127,50,150,115
30/12/2014,21,724,177,75,115,1639,1426,0,531,0,87,82,238,81,93,1066,1056,389,0,243,1409,400,137,885,0,768,657,55,359,592,1019,58,99,92
30/12/2014,22,523,96,67,81,1196,1063,0,328,0,89,146,698,95,156,838,837,358,0,265,1109,602,206,651,0,641,485,59,297,520,790,52,100,95
30/12/2014,23,328,122,47,63,830,595,0,166,0,34,38,78,24,48,508,489,338,0,160,737,219,45,438,0,345,199,24,220,364,424,43,67,72
31/12/2014,0,145,51,14,38,452,287,0,89,0,7,20,35,49,8,280,237,171,0,97,283,74,41,305,0,154,123,30,74,202,136,22,35,47
31/12/2014,1,97,21,13,9,138,146,0,40,0,12,1,16,16,7,78,102,60,0,69,109,30,16,159,0,58,32,16,46,180,68,1,8,15
31/12/2014,2,23,4,4,15,73,49,0,43,0,2,4,8,2,1,48,63,33,0,46,52,22,11,88,0,31,15,5,25,77,39,1,5,7
31/12/2014,3,17,6,2,7,22,49,0,27,0,2,3,2,0,0,52,34,13,0,44,49,8,1,77,0,17,12,8,35,45,17,3,6,13
31/12/2014,4,24,10,4,10,43,37,0,12,0,6,3,2,1,2,52,37,42,0,20,29,10,1,38,0,18,16,7,62,35,7,6,2,0
31/12/2014,5,7,20,7,30,65,51,0,14,0,26,6,13,1,10,56,63,63,0,50,83,85,18,26,0,13,7,5,67,13,2,5,10,10
31/12/2014,6,43,86,49,218,129,120,0,51,0,99,42,30,3,26,110,184,88,0,76,295,295,42,54,0,23,14,13,99,39,12,30,20,42
31/12/2014,7,99,231,168,635,248,251,0,133,0,312,104,75,11,105,217,332,208,0,192,638,762,143,123,0,44,36,57,206,97,54,59,49,74
31/12/2014,8,193,481,382,1166,365,469,0,284,0,547,127,148,24,150,469,528,360,0,325,1042,1090,227,131,0,123,61,73,488,116,59,110,110,182
31/12/2014,9,327,427,255,596,594,1029,0,696,0,235,121,168,32,137,557,656,302,0,503,1163,785,244,252,0,158,112,131,556,238,122,132,123,232
31/12/2014,10,529,380,187,303,959,1791,0,1559,0,197,100,284,63,191,974,881,414,0,808,1715,786,260,397,0,350,269,187,698,424,195,86,165,219
31/12/2014,11,833,390,160,307,597,2775,0,2347,0,200,121,434,108,261,1525,1286,600,0,1109,2162,890,334,619,0,651,403,194,1202,568,242,106,183,198
31/12/2014,12,1237,744,295,501,1674,3414,0,3252,0,332,151,460,153,352,1900,1546,565,0,1301,2642,1095,347,870,0,1036,99,250,1556,817,496,196,258,308
31/12/2014,13,1409,556,264,542,2297,3742,0,3611,0,346,149,566,167,331,2409,1828,629,0,1206,3048,1161,326,1049,0,1143,0,226,2221,1003,464,163,199,246
31/12/2014,14,1600,483,320,551,2356,4015,0,3852,0,452,185,599,176,277,2147,1965,734,0,965,3313,1183,339,1046,0,1226,0,199,1771,852,622,189,251,223
31/12/2014,15,1703,436,342,678,2543,3973,0,3833,0,474,198,568,216,281,2256,2018,887,0,697,3492,1251,365,1085,0,1057,0,129,1524,887,654,190,212,227
31/12/2014,16,1598,423,277,604,2469,3984,0,3469,0,389,237,603,197,272,2624,2072,807,0,695,3675,1357,358,1174,0,1047,0,135,1791,762,392,187,292,136
31/12/2014,17,1934,399,198,468,2559,3727,0,2728,0,249,276,809,286,255,3159,1839,754,0,548,3511,1159,378,1206,0,1293,0,126,2638,848,365,139,304,247
31/12/2014,18,1895,340,157,285,3038,3803,0,1828,0,260,250,1323,452,238,3241,1919,855,0,549,2974,1061,303,1274,0,1374,0,113,2893,840,504,148,342,216
31/12/2014,19,1934,370,161,240,3433,3264,0,1320,0,283,309,1817,810,270,1450,2232,973,0,464,2994,1016,353,1609,0,1486,0,88,3227,933,719,166,349,227
31/12/2014,20,1934,394,178,229,3403,2803,0,1175,0,377,226,2789,1270,335,1367,2412,1153,0,433,2988,851,310,1601,0,1263,0,84,2779,1069,681,218,396,243
31/12/2014,21,1630,515,217,320,3100,3253,0,956,0,337,284,3236,1808,408,2129,2495,1322,0,317,3004,759,259,1662,0,1060,737,71,2722,886,674,353,726,247
31/12/2014,22,2095,710,364,407,3785,3846,0,1387,0,479,335,4127,2197,432,1658,2717,621,0,348,3204,899,441,1810,0,1239,817,110,3519,1048,510,344,1257,293
31/12/2014,23,2051,576,242,566,2778,2974,0,673,0,441,355,4330,2671,456,1501,2914,475,0,294,2990,689,234,1551,0,678,547,76,2668,704,353,345,757,357
